rsi_low,rsi_high,final_value,total_return,sharpe_ratio,max_drawdown,trade_count
20,60,1500000.0,0.0,,0.0,0
20,65,1500000.0,0.0,,0.0,0
20,70,1500000.0,0.0,,0.0,0
20,75,1500000.0,0.0,,0.0,0
20,80,1500000.0,0.0,,0.0,0
25,60,1500000.0,0.0,,0.0,0
25,65,1500000.0,0.0,,0.0,0
25,70,1500000.0,0.0,,0.0,0
25,75,1500000.0,0.0,,0.0,0
25,80,1500000.0,0.0,,0.0,0
30,60,1500000.0,0.0,,0.0,0
30,65,1500000.0,0.0,,0.0,0
30,70,1500000.0,0.0,,0.0,0
30,75,1500000.0,0.0,,0.0,0
30,80,1500000.0,0.0,,0.0,0
35,60,1500000.0,0.0,,0.0,0
35,65,1500000.0,0.0,,0.0,0
35,70,1500000.0,0.0,,0.0,0
35,75,1500000.0,0.0,,0.0,0
35,80,1500000.0,0.0,,0.0,0
40,60,1500000.0,0.0,,0.0,0
40,65,1500000.0,0.0,,0.0,0
40,70,1500000.0,0.0,,0.0,0
40,75,1500000.0,0.0,,0.0,0
40,80,1500000.0,0.0,,0.0,0
